_id,_time,code,value,category
0,Tue Sep 02 17:08:06 KST 2014,11110510,1932.2716138646108,MVNO
1,Tue Sep 02 17:08:06 KST 2014,11110520,891.3870508959453,KT
2,Tue Sep 02 17:08:06 KST 2014,11110530,544.0843601364646,KT
3,Tue Sep 02 17:08:06 KST 2014,11110540,1726.1835313118543,SKT
4,Tue Sep 02 17:08:06 KST 2014,11110550,1181.2315733540688,SKT
5,Tue Sep 02 17:08:06 KST 2014,11110560,349.1856323937676,KT
6,Tue Sep 02 17:08:06 KST 2014,11110570,1203.273971462758,SKT
7,Tue Sep 02 17:08:06 KST 2014,11110580,1300.558433953948,SKT
8,Tue Sep 02 17:08:06 KST 2014,11110600,327.33447399575346,KT
9,Tue Sep 02 17:08:06 KST 2014,11110615,1411.5841406309278,SKT
10,Tue Sep 02 17:08:06 KST 2014,11110630,401.10197772586537,MVNO
11,Tue Sep 02 17:08:06 KST 2014,11110640,101.37322263289175,SKT
12,Tue Sep 02 17:08:06 KST 2014,11110650,405.08920308200527,SKT
13,Tue Sep 02 17:08:06 KST 2014,11110660,1493.3250762437415,MVNO
14,Tue Sep 02 17:08:06 KST 2014,11110670,1632.3861644651686,SKT
15,Tue Sep 02 17:08:06 KST 2014,11110680,1217.7025586524646,MVNO
16,Tue Sep 02 17:08:06 KST 2014,11110690,1722.1358075944936,SKT
17,Tue Sep 02 17:08:06 KST 2014,11110700,323.72240730603374,SKT
18,Tue Sep 02 17:08:06 KST 2014,11110710,1301.0941065945522,SKT
19,Tue Sep 02 17:08:06 KST 2014,11140520,1276.1177319762658,LG
20,Tue Sep 02 17:08:06 KST 2014,11140540,1073.1714569315563,KT
21,Tue Sep 02 17:08:06 KST 2014,11140550,1414.2861973975998,SKT
22,Tue Sep 02 17:08:06 KST 2014,11140570,1627.1303072188434,KT
23,Tue Sep 02 17:08:06 KST 2014,11140580,1396.527722278721,MVNO
24,Tue Sep 02 17:08:06 KST 2014,11140590,443.21115367553773,KT
25,Tue Sep 02 17:08:06 KST 2014,11140605,1532.8641811538048,KT
26,Tue Sep 02 17:08:06 KST 2014,11140610,526.2934139509827,KT
27,Tue Sep 02 17:08:06 KST 2014,11140620,1604.857019385551,LG
