"_id","_time","code","value"
"9811","Tue Sep 02 17:07:10 KST 2014","47150390","5352"
"9810","Tue Sep 02 17:07:10 KST 2014","31110640","2634"
"9809","Tue Sep 02 17:07:10 KST 2014","26260510","6520"
"9808","Tue Sep 02 17:07:10 KST 2014","48190680","8887"
"9807","Tue Sep 02 17:07:10 KST 2014","48330550","5378"
"9806","Tue Sep 02 17:07:10 KST 2014","28200510","5572"
"9805","Tue Sep 02 17:07:10 KST 2014","45800420","4031"
"9804","Tue Sep 02 17:07:10 KST 2014","48310570","6430"
"9803","Tue Sep 02 17:07:10 KST 2014","47210330","9389"
"9802","Tue Sep 02 17:07:10 KST 2014","26380561","6462"
"9801","Tue Sep 02 17:07:10 KST 2014","47930330","6925"
"9800","Tue Sep 02 17:07:10 KST 2014","48220510","9995"
"9799","Tue Sep 02 17:07:10 KST 2014","47830320","9225"
"9798","Tue Sep 02 17:07:10 KST 2014","44150510","1642"
"9797","Tue Sep 02 17:07:10 KST 2014","27290510","6753"
"9796","Tue Sep 02 17:07:10 KST 2014","46720400","3474"
"9795","Tue Sep 02 17:07:10 KST 2014","43720350","7372"
"9794","Tue Sep 02 17:07:10 KST 2014","47210600","7685"
"9793","Tue Sep 02 17:07:10 KST 2014","41610330","8942"
"9792","Tue Sep 02 17:07:10 KST 2014","47920370","1923"
"9791","Tue Sep 02 17:07:10 KST 2014","42820320","5560"
"9790","Tue Sep 02 17:07:10 KST 2014","47230535","3566"
"9789","Tue Sep 02 17:07:10 KST 2014","42720350","1965"
"9788","Tue Sep 02 17:07:10 KST 2014","11740520","8814"
"9787","Tue Sep 02 17:07:10 KST 2014","46710330","2227"
"9786","Tue Sep 02 17:07:10 KST 2014","48730390","205"
"9785","Tue Sep 02 17:07:10 KST 2014","43710400","7545"
"9784","Tue Sep 02 17:07:10 KST 2014","29155670","2571"
"9783","Tue Sep 02 17:07:10 KST 2014","47250360","7709"
"9782","Tue Sep 02 17:07:10 KST 2014","48330520","6230"
"9781","Tue Sep 02 17:07:10 KST 2014","44150390","652"
"9780","Tue Sep 02 17:07:10 KST 2014","48170400","6222"
"9779","Tue Sep 02 17:07:10 KST 2014","47130380","2562"
"9778","Tue Sep 02 17:07:10 KST 2014","43760390","8098"
"9777","Tue Sep 02 17:07:10 KST 2014","44810380","2241"
"9776","Tue Sep 02 17:07:10 KST 2014","41210620","6315"
"9775","Tue Sep 02 17:07:10 KST 2014","43730380","3897"
"9774","Tue Sep 02 17:07:10 KST 2014","47190690","6849"
"9773","Tue Sep 02 17:07:10 KST 2014","42110611","140"
"9772","Tue Sep 02 17:07:10 KST 2014","47830330","6755"
"9771","Tue Sep 02 17:07:10 KST 2014","11710646","7180"
"9770","Tue Sep 02 17:07:10 KST 2014","46910250","4006"
"9769","Tue Sep 02 17:07:10 KST 2014","41500510","5052"
"9768","Tue Sep 02 17:07:10 KST 2014","47190520","8962"
"9767","Tue Sep 02 17:07:10 KST 2014","30140680","5086"
"9766","Tue Sep 02 17:07:10 KST 2014","45130330","6167"
"9765","Tue Sep 02 17:07:10 KST 2014","45210410","5560"
"9764","Tue Sep 02 17:07:10 KST 2014","43130535","6635"
"9763","Tue Sep 02 17:07:10 KST 2014","43760390","7652"
"9762","Tue Sep 02 17:07:10 KST 2014","47840360","7143"
"9761","Tue Sep 02 17:07:10 KST 2014","42130650","30"
"9760","Tue Sep 02 17:07:10 KST 2014","29110525","8986"
"9759","Tue Sep 02 17:07:10 KST 2014","26530670","7794"
"9758","Tue Sep 02 17:07:10 KST 2014","46800256","8571"
"9757","Tue Sep 02 17:07:10 KST 2014","11740560","6096"
"9756","Tue Sep 02 17:07:10 KST 2014","27290577","4397"
"9755","Tue Sep 02 17:07:10 KST 2014","50130320","8463"
"9754","Tue Sep 02 17:07:10 KST 2014","46730330","3966"
"9753","Tue Sep 02 17:07:10 KST 2014","44730330","7378"
"9752","Tue Sep 02 17:07:10 KST 2014","44710380","5223"
"9751","Tue Sep 02 17:07:10 KST 2014","45180560","7980"
"9750","Tue Sep 02 17:07:10 KST 2014","46710250","2745"
"9749","Tue Sep 02 17:07:10 KST 2014","48160670","9990"
"9748","Tue Sep 02 17:07:10 KST 2014","11650560","2762"
"9747","Tue Sep 02 17:07:10 KST 2014","28200582","4167"
"9746","Tue Sep 02 17:07:10 KST 2014","48170710","6347"
"9745","Tue Sep 02 17:07:10 KST 2014","11215840","9696"
"9744","Tue Sep 02 17:07:10 KST 2014","11110690","1448"
"9743","Tue Sep 02 17:07:10 KST 2014","47170520","6405"
"9742","Tue Sep 02 17:07:10 KST 2014","11710610","5097"
"9741","Tue Sep 02 17:07:10 KST 2014","29170673","5470"
"9740","Tue Sep 02 17:07:10 KST 2014","11410655","1278"
"9739","Tue Sep 02 17:07:10 KST 2014","46770410","7332"
"9738","Tue Sep 02 17:07:10 KST 2014","41220590","5386"
"9737","Tue Sep 02 17:07:10 KST 2014","48850420","9927"
"9736","Tue Sep 02 17:07:10 KST 2014","46130820","6629"
"9735","Tue Sep 02 17:07:10 KST 2014","46790250","1479"
"9734","Tue Sep 02 17:07:10 KST 2014","11350600","4699"
"9733","Tue Sep 02 17:07:10 KST 2014","46110554","3676"
"9732","Tue Sep 02 17:07:10 KST 2014","46800310","8637"
"9731","Tue Sep 02 17:07:10 KST 2014","46900360","6691"
"9730","Tue Sep 02 17:07:10 KST 2014","44180515","6946"
"9729","Tue Sep 02 17:07:10 KST 2014","48250600","5571"
"9728","Tue Sep 02 17:07:10 KST 2014","45130360","1568"
"9727","Tue Sep 02 17:07:10 KST 2014","46860320","4639"
