_id,_time,value,x,y
2098,Tue Sep 02 16:46:48 KST 2014,870,127.436,36.363
2097,Tue Sep 02 16:46:48 KST 2014,929,127.6143624106319,37.5922614045204
2096,Tue Sep 02 16:46:48 KST 2014,578,126.93278163630069,37.49665996886548
2094,Tue Sep 02 16:46:48 KST 2014,1903,127.27397073339472,37.075891247693754
2093,Tue Sep 02 16:46:48 KST 2014,2122,126.756,35.038
2091,Tue Sep 02 16:46:48 KST 2014,2151,127.3487816363007,37.35865996886548
2090,Tue Sep 02 16:46:48 KST 2014,858,126.87,37.083
2088,Tue Sep 02 16:46:48 KST 2014,1593,128.483305595595,35.85587661439114
2087,Tue Sep 02 16:46:48 KST 2014,1015,127.37436241063189,37.703261404520404
2086,Tue Sep 02 16:46:48 KST 2014,1064,127.13606169280442,37.03380602513838
2084,Tue Sep 02 16:46:48 KST 2014,1486,127.964,36.806
2083,Tue Sep 02 16:46:48 KST 2014,1881,126.8742820658441,37.53212826337639
2082,Tue Sep 02 16:46:48 KST 2014,2260,127.18587173662357,37.49706255189127
2081,Tue Sep 02 16:46:48 KST 2014,2153,128.47789526637445,36.4673652790591
2080,Tue Sep 02 16:46:48 KST 2014,113,127.10087173662357,37.678062551891266
2078,Tue Sep 02 16:46:48 KST 2014,220,127.31078163630069,37.30965996886548
2077,Tue Sep 02 16:46:48 KST 2014,1090,127.45397159248155,37.81892453297971
2074,Tue Sep 02 16:46:48 KST 2014,2061,128.87516154866236,35.22249756111624
2073,Tue Sep 02 16:46:48 KST 2014,2045,127.302,37.205
2072,Tue Sep 02 16:46:48 KST 2014,2689,128.541,35.571
2070,Tue Sep 02 16:46:48 KST 2014,1020,126.2348668588561,33.28924103436346
2069,Tue Sep 02 16:46:48 KST 2014,2214,128.17488636992618,37.54100975553506
2068,Tue Sep 02 16:46:48 KST 2014,117,129.243,35.869
2067,Tue Sep 02 16:46:48 KST 2014,1478,128.83,36.068
2066,Tue Sep 02 16:46:48 KST 2014,1750,126.3728668588561,33.45524103436345
2065,Tue Sep 02 16:46:48 KST 2014,62,129.317,35.368
2064,Tue Sep 02 16:46:48 KST 2014,1467,128.31,37.122
2063,Tue Sep 02 16:46:48 KST 2014,1018,127.29878163630069,37.43465996886548
2061,Tue Sep 02 16:46:48 KST 2014,2964,127.9668149215867,37.29379626960333
2059,Tue Sep 02 16:46:48 KST 2014,579,127.04887173662357,37.44406255189127
2058,Tue Sep 02 16:46:48 KST 2014,2940,126.87336241063188,37.26926140452041
2055,Tue Sep 02 16:46:48 KST 2014,1799,126.86602840751846,35.17514203759225
2051,Tue Sep 02 16:46:48 KST 2014,2553,127.13587173662357,37.39006255189127
2049,Tue Sep 02 16:46:48 KST 2014,605,126.95436241063189,37.4672614045204
2048,Tue Sep 02 16:46:48 KST 2014,1016,127.46940258302583,36.33437905327491
2047,Tue Sep 02 16:46:48 KST 2014,1633,128.674,36.969
2045,Tue Sep 02 16:46:48 KST 2014,2410,127.32602840751845,36.41560717250923
2044,Tue Sep 02 16:46:48 KST 2014,2939,127.44987173662358,37.55706255189127
2043,Tue Sep 02 16:46:48 KST 2014,1057,129.04598622578416,35.26314691535978
2042,Tue Sep 02 16:46:48 KST 2014,2635,127.43936241063189,37.4572614045204
2041,Tue Sep 02 16:46:48 KST 2014,1353,127.069,35.097
2040,Tue Sep 02 16:46:48 KST 2014,1410,129.328,35.5
2039,Tue Sep 02 16:46:48 KST 2014,2137,129.132,36.404
2037,Tue Sep 02 16:46:48 KST 2014,1796,126.89347317227848,37.499370156826636
2036,Tue Sep 02 16:46:48 KST 2014,968,128.355,35.299
2035,Tue Sep 02 16:46:48 KST 2014,1289,126.64445452029521,33.37674347324723
2034,Tue Sep 02 16:46:48 KST 2014,365,126.2498668588561,33.265241034363456
2032,Tue Sep 02 16:46:48 KST 2014,403,128.54523213791515,35.816713056388366
2031,Tue Sep 02 16:46:48 KST 2014,60,126.87247317227849,37.36937015682663
2029,Tue Sep 02 16:46:48 KST 2014,1145,127.576,37.02
2027,Tue Sep 02 16:46:48 KST 2014,725,127.333,35.422
2026,Tue Sep 02 16:46:48 KST 2014,2168,126.33716068957565,33.322568150369
2023,Tue Sep 02 16:46:48 KST 2014,194,126.93403328528599,37.50443758648546
